Year,Scotland,Aberdeen City,Aberdeenshire,Angus,Argyll & Bute,Edinburgh,Clackmannanshire,Dumfries & Galloway,Dundee City,East Ayrshire,East Dunbartonshire,East Lothian,East Renfrewshire,Falkirk,Fife,Glasgow City,Highland,Inverclyde,Midlothian,Moray,Eilean Siar,North Ayrshire,North Lanarkshire,Orkney,Perth & Kinross,Renfrewshire,Scottish Borders,Shetland,South Ayrshire,South Lanarkshire,Stirling,West Dunbartonshire,West Lothian
2010,8.4,7.1,15.1,9.4,13.4,7.4,8.2,15.6,12.9,8.8,6.3,8.5,8.2,8.8,8.5,5,17.9,4.5,9.1,13.5,24.3,8.5,6.8,22.6,10.3,4.6,10.6,16.5,13.1,8.4,14.3,8.4,6.9
2011,7.7,7.7,17,10,14.5,6.2,6.5,13.7,11.4,8.3,8,7.6,9.9,5.4,10.5,7.1,19.4,3.9,7.7,12.3,25.2,7.7,6.8,28.2,10.3,6.2,10.6,14.3,12.4,7.8,13,5.4,3.9
2012,8.1,8.6,13.8,13.1,14.2,5.6,6.6,14.9,7.4,9.1,6.2,6.7,9.8,6.8,10.8,8.1,23.4,5.7,6.9,11.4,26.1,9.1,5.9,30.3,11.6,7.1,14,19.1,9.3,7.3,9.7,6.5,4.9
2013,8.6,8.6,14.1,13.4,16.4,6.1,8.3,13.1,6.3,8.2,4.8,6.2,9.3,6.4,9.5,8.5,21.3,6.6,4.9,12.8,25.2,9.9,4.5,30.2,11.5,7.5,13.8,19.3,8.5,6.1,6.8,5.1,6.6
2014,8.2,5.4,15.1,9.8,14.4,5.9,9.7,14.1,6.2,7.2,4.1,7.8,7.5,6.4,8,8,18.5,8.1,5.6,12.2,22.4,7.2,4.2,25.9,10.7,3.5,13.3,22.1,7.5,5.7,6.6,6.6,7.1
2015,7.2,4.6,15.9,8.4,14.7,4.6,8.2,11.9,7.8,4.5,4.7,9.2,4,5.9,6.6,6.5,16.6,6.5,5.5,13.9,22.9,4.7,4.3,23,11.6,4.1,7.8,17.7,9.4,5.2,7.5,5.4,5.9
2016,6.4,4.6,15.9,8.4,14.7,4.6,8.2,11.9,7.8,4.5,4.7,9.2,4,5.9,6.6,6.5,16.6,6.5,5.5,13.9,22.9,4.7,4.3,23,11.6,4.1,7.8,17.7,9.4,5.2,7.5,5.4,5.9
2017,6,4.6,15.9,8.4,14.7,4.6,8.2,11.9,7.8,4.5,4.7,9.2,4,5.9,6.6,6.5,16.6,6.5,5.5,13.9,22.9,4.7,4.3,23,11.6,4.1,7.8,17.7,9.4,5.2,7.5,5.4,5.9
