Data Zone ID,Council Code,SIMD2012Rank
S01000001,S12000033,4726
S01000002,S12000033,6214
S01000003,S12000033,6238
S01000004,S12000033,6068
S01000005,S12000033,5883
S01000006,S12000033,4812
S01000007,S12000033,6171
S01000008,S12000033,4548
S01000009,S12000033,5159
S01000010,S12000033,6092
S01000011,S12000033,6002
S01000012,S12000033,5491
S01000013,S12000033,4702
S01000014,S12000033,5274
S01000015,S12000033,6210
S01000016,S12000033,6162
S01000017,S12000033,4808
S01000018,S12000033,4908
S01000019,S12000033,5918
S01000020,S12000033,4026
S01000021,S12000033,3982
S01000022,S12000033,6167
S01000023,S12000033,6000
S01000024,S12000033,5602
S01000025,S12000033,6010
S01000026,S12000033,1260
S01000027,S12000033,5980
S01000028,S12000033,2052
S01000029,S12000033,6042
S01000030,S12000033,2448
S01000031,S12000033,6174
S01000032,S12000033,2591
S01000033,S12000033,1519
S01000034,S12000033,6224
S01000035,S12000033,2969
S01000036,S12000033,1585
S01000037,S12000033,2382
S01000038,S12000033,3264
S01000039,S12000033,2536
S01000040,S12000033,2909
S01000041,S12000033,3925
S01000042,S12000033,2431
S01000043,S12000033,3619
S01000044,S12000033,1350
S01000045,S12000033,6084
S01000046,S12000033,6159
S01000047,S12000033,3501
S01000048,S12000033,6233
S01000049,S12000033,6066
S01000050,S12000033,5744
S01000051,S12000033,6245
S01000052,S12000033,700
S01000053,S12000033,4991
S01000054,S12000033,6071
S01000055,S12000033,1103
S01000056,S12000033,5629
S01000057,S12000033,784
S01000058,S12000033,6181
S01000059,S12000033,6141
S01000060,S12000033,221
S01000061,S12000033,6244
S01000062,S12000033,6179
S01000063,S12000033,6340
S01000064,S12000033,4322
S01000065,S12000033,4475
S01000066,S12000033,1971
S01000067,S12000033,5885
S01000068,S12000033,5945
S01000069,S12000033,1290
S01000070,S12000033,2059
S01000071,S12000033,1079
S01000072,S12000033,3608
S01000073,S12000033,6394
S01000074,S12000033,571
S01000075,S12000033,5526
S01000076,S12000033,6182
S01000077,S12000033,6103
S01000078,S12000033,1818
S01000079,S12000033,6197
S01000080,S12000033,5541
S01000081,S12000033,6424
S01000082,S12000033,1063
S01000083,S12000033,6441
S01000084,S12000033,1095
S01000085,S12000033,4082
S01000086,S12000033,6003
S01000087,S12000033,6320
S01000088,S12000033,5993
S01000089,S12000033,6219
S01000090,S12000033,6296
S01000091,S12000033,4453
S01000092,S12000033,5727
S01000093,S12000033,4405
S01000094,S12000033,5400
S01000095,S12000033,6413
S01000096,S12000033,1793
S01000097,S12000033,6428
S01000098,S12000033,1703
S01000099,S12000033,6341
S01000100,S12000033,2693
S01000101,S12000033,5991
S01000102,S12000033,1760
S01000103,S12000033,6201
S01000104,S12000033,6302
S01000105,S12000033,5784
