Data Zone ID,Council Code,SIMD2009Rank
S01000001,S12000033,5175
S01000002,S12000033,6071
S01000003,S12000033,5984
S01000004,S12000033,5957
S01000005,S12000033,5886
S01000006,S12000033,4064
S01000007,S12000033,6273
S01000008,S12000033,5080
S01000009,S12000033,4778
S01000010,S12000033,5332
S01000011,S12000033,6276
S01000012,S12000033,5237
S01000013,S12000033,4044
S01000014,S12000033,5136
S01000015,S12000033,5586
S01000016,S12000033,6209
S01000017,S12000033,4524
S01000018,S12000033,4471
S01000019,S12000033,5962
S01000020,S12000033,3835
S01000021,S12000033,4248
S01000022,S12000033,6187
S01000023,S12000033,6024
S01000024,S12000033,5516
S01000025,S12000033,6087
S01000026,S12000033,1466
S01000027,S12000033,6084
S01000028,S12000033,2366
S01000029,S12000033,6052
S01000030,S12000033,2148
S01000031,S12000033,6365
S01000032,S12000033,2905
S01000033,S12000033,1369
S01000034,S12000033,6389
S01000035,S12000033,2831
S01000036,S12000033,1839
S01000037,S12000033,1829
S01000038,S12000033,3331
S01000039,S12000033,2672
S01000040,S12000033,2700
S01000041,S12000033,3810
S01000042,S12000033,2355
S01000043,S12000033,3926
S01000044,S12000033,1347
S01000045,S12000033,6311
S01000046,S12000033,6339
S01000047,S12000033,3571
S01000048,S12000033,6335
S01000049,S12000033,6308
S01000050,S12000033,5841
S01000051,S12000033,6032
S01000052,S12000033,813
S01000053,S12000033,5408
S01000054,S12000033,6020
S01000055,S12000033,790
S01000056,S12000033,5789
S01000057,S12000033,675
S01000058,S12000033,6416
S01000059,S12000033,6324
S01000060,S12000033,249
S01000061,S12000033,6168
S01000062,S12000033,6363
S01000063,S12000033,6323
S01000064,S12000033,3631
S01000065,S12000033,5050
S01000066,S12000033,1873
S01000067,S12000033,5955
S01000068,S12000033,6239
S01000069,S12000033,934
S01000070,S12000033,1962
S01000071,S12000033,800
S01000072,S12000033,4053
S01000073,S12000033,6359
S01000074,S12000033,388
S01000075,S12000033,5588
S01000076,S12000033,6233
S01000077,S12000033,6025
S01000078,S12000033,1595
S01000079,S12000033,6113
S01000080,S12000033,5603
S01000081,S12000033,6444
S01000082,S12000033,1340
S01000083,S12000033,6374
S01000084,S12000033,1029
S01000085,S12000033,4398
S01000086,S12000033,6153
S01000087,S12000033,6368
S01000088,S12000033,6063
S01000089,S12000033,6380
S01000090,S12000033,6325
S01000091,S12000033,4604
S01000092,S12000033,5975
S01000093,S12000033,4728
S01000094,S12000033,5350
S01000095,S12000033,6433
S01000096,S12000033,1825
S01000097,S12000033,6457
S01000098,S12000033,1258
S01000099,S12000033,6319
S01000100,S12000033,1832
S01000101,S12000033,6205
S01000102,S12000033,1522
S01000103,S12000033,6053
S01000104,S12000033,6243
S01000105,S12000033,5736
S01000106,S12000033,6477
S01000107,S12000033,2480
S01000108,S12000033,1934
S01000109,S12000033,3074
S01000110,S12000033,4723
S01000111,S12000033,6191
S01000112,S12000033,2952
S01000113,S12000033,6452
S01000114,S12000033,1852
S01000115,S12000033,2331
S01000116,S12000033,6154
S01000117,S12000033,5938
S01000118,S12000033,2841
S01000119,S12000033,2032
S01000120,S12000033,5760
S01000121,S12000033,2992
S01000122,S12000033,1560
S01000123,S12000033,5528
S01000124,S12000033,4854
S01000125,S12000033,2644
S01000126,S12000033,1765
S01000127,S12000033,6498
S01000128,S12000033,4789
S01000129,S12000033,5546
S01000130,S12000033,2968
S01000131,S12000033,6351
S01000132,S12000033,5690
S01000133,S12000033,2678
S01000134,S12000033,1454
S01000135,S12000033,933
S01000136,S12000033,1915
S01000137,S12000033,3686
S01000138,S12000033,4326
S01000139,S12000033,2483
S01000140,S12000033,3173
S01000141,S12000033,5582
S01000142,S12000033,1130
S01000143,S12000033,6390
S01000144,S12000033,4443
S01000145,S12000033,1613
S01000146,S12000033,1722
S01000147,S12000033,2984
S01000148,S12000033,542
S01000149,S12000033,3040
S01000150,S12000033,2222
S01000151,S12000033,1651
S01000152,S12000033,3901
S01000153,S12000033,2571
S01000154,S12000033,2835
S01000155,S12000033,1924
S01000156,S12000033,1459
S01000157,S12000033,839
S01000158,S12000033,2471
S01000159,S12000033,6234
S01000160,S12000033,2872
S01000161,S12000033,6269
S01000162,S12000033,2904
S01000163,S12000033,1528
S01000164,S12000033,3526
S01000165,S12000033,1087
S01000166,S12000033,5561
S01000167,S12000033,2753
S01000168,S12000033,1732
S01000169,S12000033,2787
S01000170,S12000033,5612
S01000171,S12000033,5517
S01000172,S12000033,4666
S01000173,S12000033,2108
S01000174,S12000033,6295
S01000175,S12000033,2252
S01000176,S12000033,4591
S01000177,S12000033,6061
S01000178,S12000033,2092
S01000179,S12000033,326
S01000180,S12000033,1889
S01000181,S12000033,838
S01000182,S12000033,1762
S01000183,S12000033,1725
S01000184,S12000033,4997
S01000185,S12000033,817
S01000186,S12000033,3376
S01000187,S12000033,1640
S01000188,S12000033,2895
S01000189,S12000033,782
S01000190,S12000033,1705
S01000191,S12000033,4449
S01000192,S12000033,1222
S01000193,S12000033,1209
S01000194,S12000033,512
S01000195,S12000033,534
S01000196,S12000033,181
S01000197,S12000033,1787
S01000198,S12000033,353
S01000199,S12000033,348
S01000200,S12000033,2097
S01000201,S12000033,2463
S01000202,S12000033,3184
S01000203,S12000033,320
S01000204,S12000033,951
S01000205,S12000033,3297
S01000206,S12000033,2928
S01000207,S12000033,906
S01000208,S12000033,195
S01000209,S12000033,111
S01000210,S12000033,341
S01000211,S12000033,834
S01000212,S12000033,1469
S01000213,S12000033,1310
S01000214,S12000033,4239
S01000215,S12000033,4453
S01000216,S12000033,4448
S01000217,S12000033,387
S01000218,S12000033,3190
S01000219,S12000033,691
S01000220,S12000033,5217
S01000221,S12000033,1739
S01000222,S12000033,4050
S01000223,S12000033,3949
S01000224,S12000033,3092
S01000225,S12000033,4952
S01000226,S12000033,5793
S01000227,S12000033,6158
S01000228,S12000033,4059
S01000229,S12000033,2528
S01000230,S12000033,4427
S01000231,S12000033,6379
S01000232,S12000033,3317
S01000233,S12000033,3890
S01000234,S12000033,6076
S01000235,S12000033,6354
S01000236,S12000033,5370
S01000237,S12000033,5751
S01000238,S12000033,6300
S01000239,S12000033,6118
S01000240,S12000033,5774
S01000241,S12000033,6426
S01000242,S12000033,5354
S01000243,S12000033,6478
S01000244,S12000033,3718
S01000245,S12000033,4956
S01000246,S12000033,5558
S01000247,S12000033,6299
S01000248,S12000033,6188
S01000249,S12000033,5627
S01000250,S12000033,6085
S01000251,S12000033,6235
S01000252,S12000033,5895
S01000253,S12000033,6261
S01000254,S12000033,6174
S01000255,S12000033,5356
S01000256,S12000033,4819
S01000257,S12000033,5554
S01000258,S12000033,5728
S01000259,S12000033,5987
S01000260,S12000033,5474
S01000261,S12000033,6425
S01000262,S12000033,5822
S01000263,S12000033,3666
S01000264,S12000033,4185
S01000265,S12000033,4332
S01000266,S12000033,3954
S01000267,S12000033,3647
S01000268,S12000034,3229
S01000269,S12000034,5283
S01000270,S12000034,4382
S01000271,S12000034,2925
S01000272,S12000034,4826
S01000273,S12000034,4003
S01000274,S12000034,3443
S01000275,S12000034,4963
S01000276,S12000034,5648
S01000277,S12000034,4689
S01000278,S12000034,2903
S01000279,S12000034,5082
S01000280,S12000034,4200
S01000281,S12000034,3564
S01000282,S12000034,4206
S01000283,S12000034,4747
S01000284,S12000034,5244
S01000285,S12000034,4676
S01000286,S12000034,4996
S01000287,S12000034,6031
S01000288,S12000034,5885
S01000289,S12000034,4567
S01000290,S12000034,2474
S01000291,S12000034,5807
S01000292,S12000034,5783
S01000293,S12000034,4121
S01000294,S12000034,5830
S01000295,S12000034,6331
S01000296,S12000034,6364
S01000297,S12000034,5113
S01000298,S12000034,5878
S01000299,S12000034,5363
S01000300,S12000034,4562
S01000301,S12000034,5106
S01000302,S12000034,4361
S01000303,S12000034,4252
S01000304,S12000034,5961
S01000305,S12000034,4958
S01000306,S12000034,5280
S01000307,S12000034,5696
S01000308,S12000034,5019
S01000309,S12000034,5122
S01000310,S12000034,6003
S01000311,S12000034,6106
S01000312,S12000034,5101
S01000313,S12000034,5694
S01000314,S12000034,5525
S01000315,S12000034,6298
S01000316,S12000034,4791
S01000317,S12000034,5235
S01000318,S12000034,6505
S01000319,S12000034,5974
S01000320,S12000034,6189
S01000321,S12000034,5477
S01000322,S12000034,6458
S01000323,S12000034,5646
S01000324,S12000034,6226
S01000325,S12000034,5545
S01000326,S12000034,4868
S01000327,S12000034,6242
S01000328,S12000034,4617
S01000329,S12000034,3882
S01000330,S12000034,5077
S01000331,S12000034,3933
S01000332,S12000034,5488
S01000333,S12000034,5250
S01000334,S12000034,5028
S01000335,S12000034,4936
S01000336,S12000034,4681
S01000337,S12000034,5329
S01000338,S12000034,4976
S01000339,S12000034,5959
S01000340,S12000034,4945
S01000341,S12000034,4650
S01000342,S12000034,4348
S01000343,S12000034,5254
S01000344,S12000034,5005
S01000345,S12000034,5533
S01000346,S12000034,6352
S01000347,S12000034,4959
S01000348,S12000034,6373
S01000349,S12000034,5380
S01000350,S12000034,5972
S01000351,S12000034,6221
S01000352,S12000034,6490
S01000353,S12000034,6005
S01000354,S12000034,4786
S01000355,S12000034,6316
S01000356,S12000034,4639
S01000357,S12000034,6488
S01000358,S12000034,6469
S01000359,S12000034,6277
S01000360,S12000034,3639
S01000361,S12000034,5285
S01000362,S12000034,5468
S01000363,S12000034,5398
S01000364,S12000034,4612
S01000365,S12000034,5126
S01000366,S12000034,5335
S01000367,S12000034,5837
S01000368,S12000034,5909
S01000369,S12000034,4950
S01000370,S12000034,5253
S01000371,S12000034,5064
S01000372,S12000034,5148
S01000373,S12000034,6435
S01000374,S12000034,6406
S01000375,S12000034,3495
S01000376,S12000034,3646
S01000377,S12000034,5581
S01000378,S12000034,5139
S01000379,S12000034,5305
S01000380,S12000034,5382
S01000381,S12000034,5792
S01000382,S12000034,5129
S01000383,S12000034,4700
S01000384,S12000034,3465
S01000385,S12000034,4068
S01000386,S12000034,4726
S01000387,S12000034,4745
S01000388,S12000034,5053
S01000389,S12000034,5526
S01000390,S12000034,3260
S01000391,S12000034,4504
S01000392,S12000034,5503
S01000393,S12000034,5387
S01000394,S12000034,4847
S01000395,S12000034,5137
S01000396,S12000034,3378
S01000397,S12000034,5324
S01000398,S12000034,5515
S01000399,S12000034,4222
S01000400,S12000034,4539
S01000401,S12000034,5176
S01000402,S12000034,4881
S01000403,S12000034,5282
S01000404,S12000034,5855
S01000405,S12000034,5242
S01000406,S12000034,4096
S01000407,S12000034,4166
S01000408,S12000034,6195
S01000409,S12000034,5988
S01000410,S12000034,5537
S01000411,S12000034,5233
S01000412,S12000034,4953
S01000413,S12000034,5349
S01000414,S12000034,5509
S01000415,S12000034,4441
S01000416,S12000034,5548
S01000417,S12000034,6075
S01000418,S12000034,4388
S01000419,S12000034,4701
S01000420,S12000034,5757
S01000421,S12000034,5264
S01000422,S12000034,5043
S01000423,S12000034,5590
S01000424,S12000034,4900
S01000425,S12000034,4651
S01000426,S12000034,4824
S01000427,S12000034,5876
S01000428,S12000034,6270
S01000429,S12000034,6286
S01000430,S12000034,6018
S01000431,S12000034,3065
S01000432,S12000034,6135
S01000433,S12000034,4807
S01000434,S12000034,4073
S01000435,S12000034,5394
S01000436,S12000034,6360
S01000437,S12000034,5120
S01000438,S12000034,6449
S01000439,S12000034,4363
S01000440,S12000034,4947
S01000441,S12000034,3059
S01000442,S12000034,5133
S01000443,S12000034,4999
S01000444,S12000034,5140
S01000445,S12000034,4623
S01000446,S12000034,4159
S01000447,S12000034,5104
S01000448,S12000034,4618
S01000449,S12000034,3858
S01000450,S12000034,5573
S01000451,S12000034,4632
S01000452,S12000034,4563
S01000453,S12000034,3816
S01000454,S12000034,4328
S01000455,S12000034,2927
S01000456,S12000034,4389
S01000457,S12000034,5559
S01000458,S12000034,4568
S01000459,S12000034,3776
S01000460,S12000034,2109
S01000461,S12000034,2832
S01000462,S12000034,3434
S01000463,S12000034,3004
S01000464,S12000034,3736
S01000465,S12000034,4558
S01000466,S12000034,3977
S01000467,S12000034,3395
S01000468,S12000034,4070
S01000469,S12000034,5927
S01000470,S12000034,5823
S01000471,S12000034,4811
S01000472,S12000034,4083
S01000473,S12000034,3505
S01000474,S12000034,3411
S01000475,S12000034,3392
S01000476,S12000034,3853
S01000477,S12000034,3903
S01000478,S12000034,2599
S01000479,S12000034,2280
S01000480,S12000034,5152
S01000481,S12000034,3876
S01000482,S12000034,1439
S01000483,S12000034,2096
S01000484,S12000034,2949
S01000485,S12000034,6204
S01000486,S12000034,304
S01000487,S12000034,4208
S01000488,S12000034,2208
S01000489,S12000034,898
S01000490,S12000034,5819
S01000491,S12000034,826
S01000492,S12000034,1885
S01000493,S12000034,3857
S01000494,S12000034,1390
S01000495,S12000034,4781
S01000496,S12000034,5756
S01000497,S12000034,4365
S01000498,S12000034,5689
S01000499,S12000034,5024
S01000500,S12000034,2488
S01000501,S12000034,4101
S01000502,S12000034,3196
S01000503,S12000034,3766
S01000504,S12000034,4415
S01000505,S12000034,4426
S01000506,S12000034,4822
