Data Zone ID,Council Code,SIMD2016Rank
S01006506,S12000033,5272
S01006507,S12000033,4838
S01006508,S12000033,6321
S01006509,S12000033,5363
S01006510,S12000033,4049
S01006511,S12000033,6668
S01006512,S12000033,5865
S01006513,S12000033,5845
S01006514,S12000033,6808
S01006515,S12000033,6322
S01006516,S12000033,6259
S01006517,S12000033,5843
S01006518,S12000033,6607
S01006519,S12000033,6404
S01006520,S12000033,6456
S01006521,S12000033,6517
S01006522,S12000033,6785
S01006523,S12000033,6496
S01006524,S12000033,3982
S01006525,S12000033,6333
S01006526,S12000033,2599
S01006527,S12000033,1957
S01006528,S12000033,3912
S01006529,S12000033,4128
S01006530,S12000033,2531
S01006531,S12000033,2240
S01006532,S12000033,6177
S01006533,S12000033,6930
S01006534,S12000033,6908
S01006535,S12000033,6796
S01006536,S12000033,6693
S01006537,S12000033,6538
S01006538,S12000033,6529
S01006539,S12000033,6823
S01006540,S12000033,6427
S01006541,S12000033,6824
S01006542,S12000033,6891
S01006543,S12000033,6419
S01006544,S12000033,6804
S01006545,S12000033,6486
S01006546,S12000033,6884
S01006547,S12000033,3598
S01006548,S12000033,6570
S01006549,S12000033,6766
S01006550,S12000033,6892
S01006551,S12000033,1901
S01006552,S12000033,6047
S01006553,S12000033,4820
S01006554,S12000033,4290
S01006555,S12000033,1605
S01006556,S12000033,2592
S01006557,S12000033,1757
S01006558,S12000033,6587
S01006559,S12000033,6958
S01006560,S12000033,6817
S01006561,S12000033,6975
S01006562,S12000033,5133
S01006563,S12000033,5484
S01006564,S12000033,2834
S01006565,S12000033,3870
S01006566,S12000033,6265
S01006567,S12000033,2616
S01006568,S12000033,6507
S01006569,S12000033,6303
S01006570,S12000033,6946
S01006571,S12000033,6244
S01006572,S12000033,6889
S01006573,S12000033,6949
S01006574,S12000033,6913
S01006575,S12000033,6956
S01006576,S12000033,6897
S01006577,S12000033,6850
S01006578,S12000033,5441
S01006579,S12000033,6328
S01006580,S12000033,6522
S01006581,S12000033,6955
S01006582,S12000033,3356
S01006583,S12000033,6168
S01006584,S12000033,6802
S01006585,S12000033,1842
S01006586,S12000033,3290
S01006587,S12000033,1506
S01006588,S12000033,4362
S01006589,S12000033,3514
S01006590,S12000033,3220
S01006591,S12000033,4041
S01006592,S12000033,6803
S01006593,S12000033,6795
S01006594,S12000033,6487
S01006595,S12000033,6095
S01006596,S12000033,6482
S01006597,S12000033,3956
S01006598,S12000033,6772
S01006599,S12000033,4577
S01006600,S12000033,6291
S01006601,S12000033,5426
S01006602,S12000033,6923
S01006603,S12000033,1908
S01006604,S12000033,3246
S01006605,S12000033,1920
S01006606,S12000033,4734
S01006607,S12000033,3677
S01006608,S12000033,5354
S01006609,S12000033,3473
S01006610,S12000033,2518
S01006611,S12000033,2730
S01006612,S12000033,4796
S01006613,S12000033,6415
S01006614,S12000033,6585
S01006615,S12000033,6525
S01006616,S12000033,6277
S01006617,S12000033,5404
S01006618,S12000033,6232
S01006619,S12000033,5456
S01006620,S12000033,5304
S01006621,S12000033,5027
S01006622,S12000033,6014
S01006623,S12000033,3012
S01006624,S12000033,2963
S01006625,S12000033,3606
S01006626,S12000033,1814
S01006627,S12000033,1343
S01006628,S12000033,2932
S01006629,S12000033,1283
S01006630,S12000033,1599
S01006631,S12000033,1497
S01006632,S12000033,1317
S01006633,S12000033,1122
S01006634,S12000033,500
S01006635,S12000033,2055
S01006636,S12000033,675
S01006637,S12000033,3440
S01006638,S12000033,2766
S01006639,S12000033,1835
S01006640,S12000033,6488
S01006641,S12000033,3641
S01006642,S12000033,4957
S01006643,S12000033,5566
S01006644,S12000033,4291
S01006645,S12000033,1260
S01006646,S12000033,4907
S01006647,S12000033,2606
S01006648,S12000033,4379
S01006649,S12000033,3043
S01006650,S12000033,3767
S01006651,S12000033,3147
S01006652,S12000033,4826
S01006653,S12000033,6069
S01006654,S12000033,1782
S01006655,S12000033,3023
S01006656,S12000033,4580
S01006657,S12000033,2574
S01006658,S12000033,2307
S01006659,S12000033,6368
S01006660,S12000033,3344
S01006661,S12000033,5552
S01006662,S12000033,2796
S01006663,S12000033,6664
S01006664,S12000033,4987
S01006665,S12000033,6302
S01006666,S12000033,948
S01006667,S12000033,725
S01006668,S12000033,5595
S01006669,S12000033,3732
S01006670,S12000033,4194
S01006671,S12000033,6142
S01006672,S12000033,2072
S01006673,S12000033,2562
S01006674,S12000033,1299
S01006675,S12000033,1234
S01006676,S12000033,1065
S01006677,S12000033,998
S01006678,S12000033,1962
S01006679,S12000033,5617
S01006680,S12000033,1399
S01006681,S12000033,1753
S01006682,S12000033,1535
S01006683,S12000033,1806
S01006684,S12000033,545
S01006685,S12000033,1352
S01006686,S12000033,2845
S01006687,S12000033,2794
S01006688,S12000033,4712
S01006689,S12000033,6969
S01006690,S12000033,4338
S01006691,S12000033,6208
S01006692,S12000033,5644
S01006693,S12000033,4548
S01006694,S12000033,1614
S01006695,S12000033,3139
S01006696,S12000033,2467
S01006697,S12000033,2375
S01006698,S12000033,1422
S01006699,S12000033,5105
S01006700,S12000033,2784
S01006701,S12000033,1633
S01006702,S12000033,4307
S01006703,S12000033,2025
S01006704,S12000033,1148
S01006705,S12000033,2128
S01006706,S12000033,2674
S01006707,S12000033,1051
S01006708,S12000033,3080
S01006709,S12000033,2641
S01006710,S12000033,3077
S01006711,S12000033,1147
S01006712,S12000033,3462
S01006713,S12000033,2426
S01006714,S12000033,2819
S01006715,S12000033,1499
S01006716,S12000033,1682
S01006717,S12000033,2218
S01006718,S12000033,2263
S01006719,S12000033,2023
S01006720,S12000033,1657
S01006721,S12000033,1950
S01006722,S12000033,2419
S01006723,S12000033,2362
S01006724,S12000033,785
S01006725,S12000033,1713
S01006726,S12000033,1071
S01006727,S12000033,893
S01006728,S12000033,2461
S01006729,S12000033,878
S01006730,S12000033,2758
S01006731,S12000033,1616
S01006732,S12000033,5050
S01006733,S12000033,6896
S01006734,S12000033,6826
S01006735,S12000033,6813
S01006736,S12000033,6241
S01006737,S12000033,6071
S01006738,S12000033,4852
S01006739,S12000033,5019
S01006740,S12000033,3278
S01006741,S12000033,3072
S01006742,S12000033,3845
S01006743,S12000033,5059
S01006744,S12000033,4542
S01006745,S12000033,2815
S01006746,S12000033,3518
S01006747,S12000033,6073
S01006748,S12000033,6018
S01006749,S12000033,4308
S01006750,S12000033,3423
S01006751,S12000033,3814
S01006752,S12000033,3669
S01006753,S12000033,6224
S01006754,S12000033,6515
S01006755,S12000033,4982
S01006756,S12000033,5830
S01006757,S12000033,6738
S01006758,S12000033,6858
S01006759,S12000033,6743
S01006760,S12000033,6919
S01006761,S12000033,6821
S01006762,S12000033,5311
S01006763,S12000033,6635
S01006764,S12000033,6638
S01006765,S12000033,5911
S01006766,S12000033,6575
S01006767,S12000033,6067
S01006768,S12000033,6943
S01006769,S12000033,5111
S01006770,S12000033,6148
S01006771,S12000033,6698
S01006772,S12000033,6578
S01006773,S12000033,6386
S01006774,S12000033,6562
S01006775,S12000033,4235
S01006776,S12000033,3915
S01006777,S12000033,6876
S01006778,S12000033,5296
S01006779,S12000033,2627
S01006780,S12000033,5850
S01006781,S12000033,6670
S01006782,S12000033,5925
S01006783,S12000033,4910
S01006784,S12000033,6742
S01006785,S12000033,6539
S01006786,S12000033,6182
S01006787,S12000033,5651
S01006788,S12000033,4202
S01006789,S12000034,6032
S01006790,S12000034,5440
S01006791,S12000034,3599
S01006792,S12000034,4665
S01006793,S12000034,6289
S01006794,S12000034,3986
S01006795,S12000034,5775
S01006796,S12000034,5626
S01006797,S12000034,5400
S01006798,S12000034,4745
S01006799,S12000034,5378
S01006800,S12000034,6190
S01006801,S12000034,6052
S01006802,S12000034,4602
S01006803,S12000034,4844
S01006804,S12000034,5816
S01006805,S12000034,4802
S01006806,S12000034,4848
S01006807,S12000034,4037
S01006808,S12000034,5349
S01006809,S12000034,3478
S01006810,S12000034,3921
S01006811,S12000034,5372
S01006812,S12000034,4860
S01006813,S12000034,4326
S01006814,S12000034,6121
S01006815,S12000034,4167
S01006816,S12000034,5168
S01006817,S12000034,4673
S01006818,S12000034,5306
S01006819,S12000034,5286
S01006820,S12000034,5990
S01006821,S12000034,5535
S01006822,S12000034,5436
S01006823,S12000034,6506
S01006824,S12000034,3017
S01006825,S12000034,5854
S01006826,S12000034,6015
S01006827,S12000034,4465
S01006828,S12000034,5265
S01006829,S12000034,6563
S01006830,S12000034,5324
S01006831,S12000034,6765
S01006832,S12000034,6383
S01006833,S12000034,6957
S01006834,S12000034,6829
S01006835,S12000034,4447
S01006836,S12000034,6385
S01006837,S12000034,5859
S01006838,S12000034,6431
S01006839,S12000034,4856
S01006840,S12000034,6220
S01006841,S12000034,5818
S01006842,S12000034,6598
S01006843,S12000034,6845
S01006844,S12000034,6615
S01006845,S12000034,6592
S01006846,S12000034,5112
S01006847,S12000034,6184
S01006848,S12000034,4793
S01006849,S12000034,6120
S01006850,S12000034,4093
S01006851,S12000034,4322
S01006852,S12000034,5982
S01006853,S12000034,5503
S01006854,S12000034,5448
S01006855,S12000034,5260
S01006856,S12000034,5698
S01006857,S12000034,5556
S01006858,S12000034,5198
S01006859,S12000034,6660
S01006860,S12000034,3935
S01006861,S12000034,6394
S01006862,S12000034,6147
S01006863,S12000034,6023
S01006864,S12000034,5942
S01006865,S12000034,6782
S01006866,S12000034,6933
S01006867,S12000034,6878
S01006868,S12000034,5261
S01006869,S12000034,5351
S01006870,S12000034,6888
S01006871,S12000034,6326
S01006872,S12000034,5741
S01006873,S12000034,5844
S01006874,S12000034,5246
S01006875,S12000034,5583
S01006876,S12000034,5492
S01006877,S12000034,5163
S01006878,S12000034,3402
S01006879,S12000034,5004
S01006880,S12000034,5967
S01006881,S12000034,5834
S01006882,S12000034,5322
S01006883,S12000034,6091
S01006884,S12000034,6485
S01006885,S12000034,5021
S01006886,S12000034,5319
S01006887,S12000034,6381
S01006888,S12000034,5184
S01006889,S12000034,3101
S01006890,S12000034,6852
S01006891,S12000034,5799
S01006892,S12000034,3204
S01006893,S12000034,5526
S01006894,S12000034,5173
S01006895,S12000034,4619
S01006896,S12000034,5293
S01006897,S12000034,6516
S01006898,S12000034,5078
S01006899,S12000034,6871
S01006900,S12000034,6513
S01006901,S12000034,4484
S01006902,S12000034,3918
S01006903,S12000034,2681
S01006904,S12000034,5227
S01006905,S12000034,5669
S01006906,S12000034,2652
S01006907,S12000034,4547
S01006908,S12000034,4630
S01006909,S12000034,6401
S01006910,S12000034,6308
S01006911,S12000034,6460
S01006912,S12000034,5589
S01006913,S12000034,5895
S01006914,S12000034,5979
S01006915,S12000034,5228
S01006916,S12000034,6202
S01006917,S12000034,6577
S01006918,S12000034,6035
S01006919,S12000034,5868
S01006920,S12000034,5252
S01006921,S12000034,6734
S01006922,S12000034,5085
S01006923,S12000034,5658
S01006924,S12000034,4234
S01006925,S12000034,5956
S01006926,S12000034,5663
S01006927,S12000034,5887
S01006928,S12000034,5028
S01006929,S12000034,6559
S01006930,S12000034,6942
S01006931,S12000034,4913
S01006932,S12000034,6364
S01006933,S12000034,6945
S01006934,S12000034,5263
